"Protein.family.LH","Occurrence"
"Thaumi_prot_LH_FAM001046","Only NM"
"Thaumi_prot_LH_FAM000730","Only NM"
"Thaumi_prot_LH_FAM001074","Only NM"
"Thaumi_prot_LH_FAM001971","Only NM"
"Thaumi_prot_LH_FAM001069","Only NM"
"Thaumi_prot_LH_FAM001852","Only NM"
"Thaumi_prot_LH_FAM006582","Only NM"
"Thaumi_prot_LH_FAM001865","Only NM"
"Thaumi_prot_LH_FAM001268","Only NM"
"Thaumi_prot_LH_FAM006608","Only NM"
"Thaumi_prot_LH_FAM001819","Only NM"
"Thaumi_prot_LH_FAM006606","Only NM"
"Thaumi_prot_LH_FAM001993","Only NM"
"Thaumi_prot_LH_FAM000159","Only NM"
"Thaumi_prot_LH_FAM000712","Only NM"
"Thaumi_prot_LH_FAM001075","Only NM"
"Thaumi_prot_LH_FAM001900","Only NM"
"Thaumi_prot_LH_FAM006583","Only NM"
"Thaumi_prot_LH_FAM001520","Only NM"
"Thaumi_prot_LH_FAM000980","Only NM"
"Thaumi_prot_LH_FAM002096","Only NM"
"Thaumi_prot_LH_FAM002021","Only NM"
"Thaumi_prot_LH_FAM000257","Only NM"
"Thaumi_prot_LH_FAM001818","Only NM"
"Thaumi_prot_LH_FAM001953","Only NM"
"Thaumi_prot_LH_FAM002121","Only NM"
"Thaumi_prot_LH_FAM006549","Only NM"
"Thaumi_prot_LH_FAM001677","Only NM"
"Thaumi_prot_LH_FAM001627","Only NM"
"Thaumi_prot_LH_FAM001987","Only NM"
"Thaumi_prot_LH_FAM006580","Only NM"
"Thaumi_prot_LH_FAM006605","Only NM"
"Thaumi_prot_LH_FAM001828","Only NM"
"Thaumi_prot_LH_FAM000271","Only NM"
"Thaumi_prot_LH_FAM000377","Only NM"
"Thaumi_prot_LH_FAM006597","Only NM"
"Thaumi_prot_LH_FAM000379","Only NM"
"Thaumi_prot_LH_FAM000433","Only NM"
"Thaumi_prot_LH_FAM002119","Only NM"
"Thaumi_prot_LH_FAM000147","Only NM"
"Thaumi_prot_LH_FAM001886","Only NM"
"Thaumi_prot_LH_FAM002008","Only NM"
"Thaumi_prot_LH_FAM006604","Only NM"
"Thaumi_prot_LH_FAM006576","Only NM"
"Thaumi_prot_LH_FAM001045","Only NM"
"Thaumi_prot_LH_FAM001380","Only NM"
"Thaumi_prot_LH_FAM000233_0","Only NM"
"Thaumi_prot_LH_FAM000588","Only NM"
"Thaumi_prot_LH_FAM000432","Only NM"
"Thaumi_prot_LH_FAM001514","Only NM"
"Thaumi_prot_LH_FAM002074","Only NM"
"Thaumi_prot_LH_FAM001910","Only NM"
"Thaumi_prot_LH_FAM001978","Only NM"
"Thaumi_prot_LH_FAM000961","Only NM"
"Thaumi_prot_LH_FAM000133_0","Only NM"
"Thaumi_prot_LH_FAM000593","Only NM"
"Thaumi_prot_LH_FAM000592","Only NM"
"Thaumi_prot_LH_FAM000975","Only NM"
"Thaumi_prot_LH_FAM000734","Only NM"
"Thaumi_prot_LH_FAM001292","Only NM"
"Thaumi_prot_LH_FAM001528","Only NM"
"Thaumi_prot_LH_FAM006566","Only NM"
"Thaumi_prot_LH_FAM001094","Only NM"
"Thaumi_prot_LH_FAM000087","Only NM"
"Thaumi_prot_LH_FAM000876","Only NM"
