"replicate","time","NO2","transfer"
"NV7",90,1244.8772,4
"NV8",90,1425.1664,4
"NV9",90,1459.5072,4
"NV10",90,1330.7292,4
"NV11",90,1523.8962,4
"NV12",90,1579.7,4
"NV13",90,1674.1372,4
"NV14",90,1768.5744,4
"NV15",90,1648.3816,4
"NV1",0,1,5
"NV2",0,1,5
"NV3",0,1,5
"NV4",0,1,5
"NV5",0,1,5
"NV6",0,1,5
"NV7",0,1,5
"NV8",0,1,5
"NV9",0,1,5
"NV10",0,1,5
"NV11",0,1,5
"NV12",0,1,5
"NV13",0,1,5
"NV14",0,1,5
"NV15",0,1,5
"NV1",22,70.8395,5
"NV2",22,94.4488,5
"NV3",22,88.0099,5
"NV4",22,135.2285,5
"NV5",22,85.8636,5
"NV6",22,60.108,5
"NV7",22,118.0581,5
"NV8",22,126.6433,5
"NV9",22,143.8137,5
"NV10",22,130.9359,5
"NV11",22,109.4729,5
"NV12",22,113.7655,5
"NV13",22,85.8636,5
"NV14",22,79.4247,5
"NV15",22,107.3266,5
"NV1",44.5,247.6689,5
"NV2",44.5,345.96,5
"NV3",44.5,333.4122,5
"NV4",44.5,504.8988,5
"NV5",44.5,348.0513,5
"NV6",44.5,274.8558,5
"NV7",44.5,435.8859,5
"NV8",44.5,467.2554,5
"NV9",44.5,477.7119,5
"NV10",44.5,481.8945,5
"NV11",44.5,419.1555,5
"NV12",44.5,419.1555,5
"NV13",44.5,375.2382,5
"NV14",44.5,322.9557,5
"NV15",44.5,408.699,5
"NV1",53.5,383.7106,5
"NV2",53.5,499.1658,5
"NV3",53.5,496.9874,5
"NV4",53.5,736.6114,5
"NV5",53.5,525.3066,5
"NV6",53.5,418.565,5
"NV7",53.5,651.6538,5
"NV8",53.5,701.757,5
"NV9",53.5,671.2594,5
"NV10",53.5,712.649,5
"NV11",53.5,629.8698,5
"NV12",53.5,616.7994,5
"NV13",53.5,579.7666,5
"NV14",53.5,499.1658,5
"NV15",53.5,584.1234,5
"NV1",69,728.21,5
"NV2",69,911.1956,5
"NV3",69,898.1252,5
"NV4",69,1303.3076,5
"NV5",69,1007.0452,5
"NV6",69,797.9188,5
"NV7",69,1107.2516,5
"NV8",69,1246.6692,5
"NV9",69,1163.89,5
"NV10",69,1285.8804,5
"NV11",69,1129.0356,5
"NV12",69,1159.5332,5
"NV13",69,1068.0404,5
"NV14",69,932.9796,5
"NV15",69,1089.8244,5
"NV1",77.5,982.2042,5
"NV2",77.5,1173.7326,5
"NV3",77.5,1178.2928,5
"NV4",77.5,1666.2342,5
"NV5",77.5,1274.057,5
"NV6",77.5,1105.3296,5
"NV7",77.5,1397.1824,5
"NV8",77.5,1488.3864,5
"NV9",77.5,1438.2242,5
"NV10",77.5,1616.072,5
"NV11",77.5,1392.6222,5
"NV12",77.5,1378.9416,5
"NV13",77.5,1278.6172,5
"NV14",77.5,1274.057,5
"NV15",77.5,1429.1038,5
"NV1",0,1,6
"NV2",0,1,6
"NV3",0,1,6
